Customer Name,Invoice Date ,Credit Terms,Actual Delay over and above Agreed Credit Terms,Invoice Currency,Invoice Amount
1,2023-10-31,30,42.0,USD,56800.0
1,2023-11-30,30,,USD,50440.0
1,2023-12-31,30,-11.0,USD,40640.0
1,2024-01-31,30,,USD,59640.0
2,2023-10-13,30,-11.0,USD,99761.25
2,2023-10-13,30,-11.0,USD,99761.25
2,2023-10-13,30,-11.0,USD,99761.25
2,2023-10-13,30,-11.0,USD,99761.25
2,2023-10-13,30,5.0,USD,99761.25
2,2023-10-31,30,4.0,USD,94289.99
2,2023-10-31,30,-9.0,USD,503393.32
2,2023-10-31,30,-9.0,USD,149988.0
2,2023-10-31,30,63.0,USD,27224.0
2,2023-10-31,30,-13.0,USD,707624.06
2,2023-10-31,30,-9.0,USD,426825.8
2,2023-10-31,30,-9.0,USD,239532.0
2,2023-10-31,30,-13.0,USD,300794.68
2,2023-10-31,30,0.0,USD,5226.67
2,2023-10-31,30,0.0,USD,992888.0
2,2023-10-31,30,0.0,USD,15680.0
2,2023-10-31,30,0.0,USD,53959.33
2,2023-10-31,30,-13.0,USD,21000.0
2,2023-10-31,30,-13.0,USD,23500.0
2,2023-10-31,30,-13.0,USD,30000.0
2,2023-10-31,30,-13.0,USD,30000.0
2,2023-10-31,30,0.0,USD,39583.0
2,2023-10-31,30,-13.0,USD,60433.34
2,2023-10-31,30,-13.0,USD,60433.35
2,2023-10-31,30,0.0,USD,59208.33
2,2023-10-31,30,0.0,USD,70634.0
2,2023-10-31,30,0.0,USD,268549.05
2,2023-10-31,30,4.0,USD,32666.67
2,2023-10-31,30,4.0,USD,14700.0
2,2023-10-31,30,0.0,USD,114818.62
2,2023-10-31,30,4.0,USD,27245.44
2,2023-10-31,30,4.0,USD,33802.0
2,2023-10-31,30,4.0,USD,11340.0
2,2023-10-31,30,-13.0,USD,2240.0
2,2023-10-31,30,-9.0,USD,73740.0
2,2023-11-14,30,-23.0,USD,-239532.0
2,2023-11-16,30,-12.0,USD,222312.0
2,2023-11-16,30,10.0,USD,6613.0
2,2023-11-17,30,-16.0,USD,99761.25
2,2023-11-17,30,9.0,USD,6125.0
2,2023-11-30,30,11.0,USD,15680.0
2,2023-11-30,30,-4.0,USD,5226.67
2,2023-11-30,30,-11.0,USD,110576.66
2,2023-11-30,30,-11.0,USD,60433.34
2,2023-11-30,30,-11.0,USD,29400.0
2,2023-11-30,30,-11.0,USD,295392.01
2,2023-11-30,30,-11.0,USD,725043.4
2,2023-11-30,30,23.0,USD,59208.33
2,2023-11-30,30,-4.0,USD,70634.0
2,2023-11-30,30,-4.0,USD,53959.33
2,2023-11-30,30,-4.0,USD,39583.0
2,2023-11-30,30,-3.0,USD,30000.0
2,2023-11-30,30,-11.0,USD,23500.0
2,2023-11-30,30,-11.0,USD,21000.0
2,2023-11-30,30,17.0,USD,30000.0
2,2023-11-30,30,-11.0,USD,32666.67
2,2023-11-30,30,-12.0,USD,73740.0
2,2023-11-30,30,-11.0,USD,14700.0
2,2023-11-30,30,-11.0,USD,99761.25
2,2023-11-30,30,-4.0,USD,7000.0
2,2023-11-30,30,33.0,USD,30680.0
2,2023-11-30,30,-11.0,USD,-295392.01
2,2023-11-30,30,-11.0,USD,295392.01
2,2023-11-30,30,-11.0,USD,219432.0
2,2023-11-30,30,-4.0,USD,151044.0
2,2023-11-30,30,27.0,USD,6519.5
2,2023-11-30,30,-4.0,USD,406969.8
2,2023-11-30,30,-4.0,USD,115956.1
2,2023-11-30,30,-4.0,USD,992888.0
2,2023-11-30,30,3.0,USD,27245.44
2,2023-11-30,30,3.0,USD,33802.0
