Customer Name,Invoice Date ,Credit Terms,Actual Delay over and above Agreed Credit Terms,Invoice Currency, Invoice Amount 
1,10/31/2023,30,42,USD," 56,800.00 "
1,11/30/2023,30,,USD," 50,440.00 "
1,12/31/2023,30,-11,USD," 40,640.00 "
1,1/31/2024,30,,USD," 59,640.00 "
2,10/13/2023,30,-11,USD," 99,761.25 "
2,10/13/2023,30,-11,USD," 99,761.25 "
2,10/13/2023,30,-11,USD," 99,761.25 "
2,10/13/2023,30,-11,USD," 99,761.25 "
2,10/13/2023,30,5,USD," 99,761.25 "
2,10/31/2023,30,4,USD," 94,289.99 "
2,10/31/2023,30,-9,USD," 503,393.32 "
2,10/31/2023,30,-9,USD," 149,988.00 "
2,10/31/2023,30,63,USD," 27,224.00 "
2,10/31/2023,30,-13,USD," 707,624.06 "
2,10/31/2023,30,-9,USD," 426,825.80 "
2,10/31/2023,30,-9,USD," 239,532.00 "
2,10/31/2023,30,-13,USD," 300,794.68 "
2,10/31/2023,30,0,USD," 5,226.67 "
2,10/31/2023,30,0,USD," 992,888.00 "
2,10/31/2023,30,0,USD," 15,680.00 "
2,10/31/2023,30,0,USD," 53,959.33 "
2,10/31/2023,30,-13,USD," 21,000.00 "
2,10/31/2023,30,-13,USD," 23,500.00 "
2,10/31/2023,30,-13,USD," 30,000.00 "
2,10/31/2023,30,-13,USD," 30,000.00 "
2,10/31/2023,30,0,USD," 39,583.00 "
2,10/31/2023,30,-13,USD," 60,433.34 "
2,10/31/2023,30,-13,USD," 60,433.35 "
2,10/31/2023,30,0,USD," 59,208.33 "
2,10/31/2023,30,0,USD," 70,634.00 "
2,10/31/2023,30,0,USD," 268,549.05 "
2,10/31/2023,30,4,USD," 32,666.67 "
2,10/31/2023,30,4,USD," 14,700.00 "
2,10/31/2023,30,0,USD," 114,818.62 "
2,10/31/2023,30,4,USD," 27,245.44 "
2,10/31/2023,30,4,USD," 33,802.00 "
2,10/31/2023,30,4,USD," 11,340.00 "
2,10/31/2023,30,-13,USD," 2,240.00 "
2,10/31/2023,30,-9,USD," 73,740.00 "
2,11/14/2023,30,-23,USD," -239,532.00 "
2,11/16/2023,30,-12,USD," 222,312.00 "
2,11/16/2023,30,10,USD," 6,613.00 "
2,11/17/2023,30,-16,USD," 99,761.25 "
2,11/17/2023,30,9,USD," 6,125.00 "
2,11/30/2023,30,11,USD," 15,680.00 "
2,11/30/2023,30,-4,USD," 5,226.67 "
2,11/30/2023,30,-11,USD," 110,576.66 "
2,11/30/2023,30,-11,USD," 60,433.34 "
2,11/30/2023,30,-11,USD," 29,400.00 "
2,11/30/2023,30,-11,USD," 295,392.01 "
2,11/30/2023,30,-11,USD," 725,043.40 "
2,11/30/2023,30,23,USD," 59,208.33 "
2,11/30/2023,30,-4,USD," 70,634.00 "
2,11/30/2023,30,-4,USD," 53,959.33 "
2,11/30/2023,30,-4,USD," 39,583.00 "
2,11/30/2023,30,-3,USD," 30,000.00 "
2,11/30/2023,30,-11,USD," 23,500.00 "
2,11/30/2023,30,-11,USD," 21,000.00 "
2,11/30/2023,30,17,USD," 30,000.00 "
2,11/30/2023,30,-11,USD," 32,666.67 "
2,11/30/2023,30,-12,USD," 73,740.00 "
2,11/30/2023,30,-11,USD," 14,700.00 "
2,11/30/2023,30,-11,USD," 99,761.25 "
2,11/30/2023,30,-4,USD," 7,000.00 "
2,11/30/2023,30,33,USD," 30,680.00 "
2,11/30/2023,30,-11,USD," -295,392.01 "
2,11/30/2023,30,-11,USD," 295,392.01 "
2,11/30/2023,30,-11,USD," 219,432.00 "
2,11/30/2023,30,-4,USD," 151,044.00 "
2,11/30/2023,30,27,USD," 6,519.50 "
2,11/30/2023,30,-4,USD," 406,969.80 "
2,11/30/2023,30,-4,USD," 115,956.10 "
2,11/30/2023,30,-4,USD," 992,888.00 "
2,11/30/2023,30,3,USD," 27,245.44 "
2,11/30/2023,30,3,USD," 33,802.00 "
2,11/30/2023,30,-4,USD," 268,549.05 "
2,11/30/2023,30,-4,USD," 11,340.00 "
2,11/30/2023,30,-4,USD," 2,240.00 "
2,11/30/2023,30,23,USD," 521,278.32 "
2,11/30/2023,30,-4,USD," 35,709.00 "
2,12/13/2023,30,10,USD," 118,200.00 "
2,12/19/2023,30,4,USD," 446,621.00 "
2,12/19/2023,30,4,USD," 844,316.00 "
2,12/21/2023,30,2,USD," 2,100,000.00 "
2,12/21/2023,30,-10,USD," 6,270.00 "
2,12/21/2023,30,-10,USD," 1,666.20 "
2,12/21/2023,30,-10,USD," 6,270.00 "
2,12/21/2023,30,-10,USD," 1,666.20 "
2,12/27/2023,30,0,USD," 192,044.00 "
2,12/28/2023,30,-12,USD," 73,740.00 "
2,12/27/2023,30,-11,USD," 271,344.01 "
2,12/27/2023,30,-11,USD," 29,400.00 "
2,12/27/2023,30,-11,USD," 713,308.73 "
2,12/27/2023,30,-11,USD," 60,433.34 "
2,12/27/2023,30,0,USD," 110,576.66 "
2,12/27/2023,30,-4,USD," 513,356.66 "
2,12/27/2023,30,-11,USD," 34,416.67 "
2,12/27/2023,30,-4,USD," 403,049.80 "
2,12/27/2023,30,-4,USD," 140,384.00 "
2,12/27/2023,30,20,USD," 5,226.67 "
2,12/27/2023,30,,USD," 35,096.00 "
2,12/27/2023,30,-4,USD," 15,680.00 "
2,12/27/2023,30,-11,USD," 99,761.25 "
2,12/29/2023,30,-2,USD," 32,666.67 "
2,12/31/2023,30,-8,USD," 30,000.00 "
2,12/31/2023,30,13,USD," 21,000.00 "
2,12/31/2023,30,-8,USD," 30,000.00 "
2,12/31/2023,30,-6,USD," 23,500.00 "
2,12/31/2023,30,-4,USD," 53,959.33 "
2,12/31/2023,30,-4,USD," 59,208.33 "
2,12/31/2023,30,-4,USD," 70,634.00 "
2,12/31/2023,30,-4,USD," 39,583.00 "
2,12/31/2023,30,-4,USD," 268,549.05 "
2,12/31/2023,30,-4,USD," 992,888.00 "
2,12/31/2023,30,2,USD," 7,669.00 "
2,12/31/2023,30,-4,USD," 2,240.00 "
2,12/31/2023,30,2,USD," 11,340.00 "
2,12/31/2023,30,-4,USD," 27,245.44 "
2,12/31/2023,30,-4,USD," 33,802.00 "
2,12/31/2023,30,16,USD," 113,737.73 "
2,1/31/2024,30,,USD," 73,740.00 "
2,1/31/2024,30,,USD," 197,001.00 "
2,1/31/2024,30,-29,USD," -3,850.00 "
2,1/31/2024,30,,USD," 30,000.00 "
2,1/31/2024,30,,USD," 23,500.00 "
2,1/31/2024,30,,USD," 32,666.67 "
2,1/31/2024,30,,USD," 99,761.25 "
2,1/31/2024,30,,USD," 21,000.00 "
2,1/31/2024,30,,USD," 59,208.33 "
2,1/31/2024,30,,USD," 70,634.00 "
2,1/31/2024,30,,USD," 15,680.00 "
2,1/31/2024,30,,USD," 53,959.33 "
2,1/31/2024,30,,USD," 113,898.79 "
2,1/31/2024,30,-30,USD," 33,802.00 "
2,1/31/2024,30,,USD," 11,340.00 "
2,1/31/2024,30,-30,USD," 27,245.44 "
2,1/31/2024,30,,USD," 11,726.00 "
2,1/31/2024,30,,USD," 2,240.00 "
2,1/31/2024,30,-30,USD," -33,802.00 "
2,1/31/2024,30,-30,USD," -27,245.44 "
2,1/31/2024,30,,USD," 33,802.00 "
2,1/31/2024,30,,USD," 27,245.44 "
2,1/31/2024,30,,USD," 15,000.00 "
2,1/31/2024,30,,USD," 26,100.00 "
2,1/31/2024,30,,USD," 1,119,556.00 "
2,1/31/2024,30,,USD," 5,226.67 "
2,1/31/2024,30,,USD," 20,416.67 "
2,1/31/2024,30,,USD," 497,839.99 "
2,1/31/2024,30,,USD," 385,949.80 "
2,1/31/2024,30,,USD," 127,264.00 "
2,1/31/2024,30,,USD," 192,044.00 "
2,1/31/2024,30,,USD," 268,549.05 "
2,1/31/2024,30,,USD," 7,647.00 "
2,1/31/2024,30,,USD," 982,458.73 "
2,1/31/2024,30,,USD," 60,433.34 "
2,1/31/2024,30,,USD," 105,303.33 "
3,10/30/2023,60,-16,USD," 11,112.00 "
3,10/31/2023,60,-17,GBP," 20,165.43 "
3,10/31/2023,60,-15,GBP," 4,207.20 "
3,10/31/2023,60,-17,GBP," 44,585.42 "
3,10/31/2023,60,-17,GBP," 62,589.58 "
3,11/17/2023,60,-27,GBP," 10,353.14 "
3,11/30/2023,60,-29,GBP," 5,256.14 "
3,11/30/2023,60,-29,GBP," 46,619.71 "
3,11/30/2023,60,-29,GBP," 59,422.36 "
3,11/30/2023,60,-29,GBP," 10,969.34 "
3,12/31/2023,60,,GBP," 46,689.48 "
3,12/31/2023,60,,GBP," 10,985.76 "
3,12/31/2023,60,,GBP," 46,221.57 "
3,12/31/2023,60,,GBP," 4,577.40 "
3,1/31/2024,60,,GBP," 46,509.55 "
3,1/31/2024,60,,GBP," 66,141.85 "
4,10/31/2023,30,-15,USD," 16,720.00 "
4,10/31/2023,30,12,USD," 3,015.81 "
4,10/31/2023,30,12,USD," 16,845.84 "
4,10/31/2023,30,41,USD," 6,156.00 "
4,10/31/2023,30,-15,USD," 5,400.00 "
4,10/31/2023,30,12,USD, 900.00 
4,10/31/2023,30,-15,USD," 17,600.00 "
4,10/31/2023,30,-15,USD," 14,080.00 "
4,10/31/2023,30,-15,USD," 19,360.00 "
4,10/31/2023,30,12,USD," 29,040.00 "
4,10/31/2023,30,41,USD," 21,525.24 "
4,10/31/2023,30,12,USD," 16,720.00 "
4,10/31/2023,30,12,USD," 15,909.96 "
4,10/31/2023,30,-16,USD," 11,440.00 "
4,10/31/2023,30,-16,USD," 5,643.00 "
4,10/31/2023,30,-17,USD," 4,860.00 "
